"Object","Field Label","API Name","Data Type","Logic / Requirement","Picklist Values","Global (Y/N)"
"Fleet Asset","Active","Is_Active__c","Checkbox","OEM License Anchor. If TRUE, consumes 1 License. Uncheck to ""Retire"" without deleting data.,","",""
"Fleet Asset","Purchase Price","Purchase_Price__c","Currency(12,2)","","",""
"Fleet Asset","Residual Value","Residual_Value__c","Currency(12,2)","Required for Lease vs. Buy analysis.","",""
"Fleet Asset","Purchase Date","Purchase_Date__c","Date","Distinct from In-Service date (financial depreciation start).","",""
"Fleet Asset","Last Location","Last_Location__c","Geolocation","Updates on Trip End only (avoids row-locking issues during live telemetry).","",""
"Fleet Asset","Driver","Driver__c","Lookup","Lookup to contact","",""
"Fleet Asset","Branch","Branch__c","Lookup","Lookup to Fleet_Branch__c. Critical for Motorpool scoping and User permissions.,","",""
"Fleet Asset","Vendor/FMC","Vendor__c","Lookup","Lookup to Account (where RecordType = Vendor).","",""
"Fleet Asset","Gross Weight (GVW)","Gross_Weight__c","Number(10,0)","Critical for trucking compliance (bridges/tunnels).","",""
"Fleet Asset","Odometer","Odometer__c","Number(10,1)","Updated via Fuel Logs, Trips, or Telemetry.","",""
"Fleet Asset","Seat Count","Seat_Count__c","Number(2,0)","Motorpool Attribute. Used for ""Find me a 5-seater"" searches.,","",""
"Fleet Asset","Height","Height__c","Number(4,2)","Meters/Feet. Critical for logistics routing.","",""
"Fleet Asset","Max Range","Max_Range__c","Number(8,0)","Expected range on full tank (Anomaly detection).","",""
"Fleet Asset","Fuel Capacity","Fuel_Capacity__c","Number(8,2)","Used to validate Fuel Log entries (Fraud Detection).","",""
"Fleet Asset","Batterry Kwh","Battery_Kwh__c","Number(8,2)","Used to validate Fuel Log entries (Fraud Detection).","",""
"Fleet Asset","Body Type","Body_Type__c","Picklist","Sedan, SUV, Pickup, Van, Box Truck, Flatbed.","",""
"Fleet Asset","Engine Type","Engine_Type__c","Picklist","","Diesel, Petrol, Electric, Hybrid, Hydrogen.",""
"Fleet Asset","Ownership","Ownership__c","Picklist","Values: Owned, Operational Lease, Capital Lease, Rented, FMC Managed.","",""
"Fleet Asset","Registered State","Registered_State__c","Picklist","US State List (Required for US Market compliance).,","",""
"Fleet Asset","Status","Status__c","Picklist","Values: In Service, Maintenance, Grounded (Compliance), Disposed, Sold.,","",""
"Fleet Asset","VIN","VIN__c","Text(17)","Unique, Case-Insensitive. Required for compliance.","",""
"Fleet Asset","Key Tag ID","Key_Tag_ID__c","Text(20)","Physical key management tracking.","",""
"Fleet Asset","License Plate","License_Plate__c","Text(20)","","",""
"Fleet Asset","Color","Color__c","Text(30)","""White"", ""Midnight Blue"" (Visual ID for drivers).","",""
"Fleet Asset","Asset ID","Asset_ID__c","Text(50)","Unique External ID (e.g., FA-1002). Distinguishes your ID from the customer's internal ID.","",""
"Fleet Asset","Serial","Serial__c","Text(50)","","",""
"Fleet Asset","Asset Name","Name","Text(80)","Formula Suggestion: Year__c & "" "" & Make__c & "" "" & Model__c & "" ("" & Customer_Asset_ID__c & "")"",","",""
"Asset Document","Document Name","Name","Text(80)","Auto-populate via Process: Type + "" - "" + Asset Name (e.g., ""Registration - 2023 Ford F150"").","",""
"Asset Document","Fleet Asset","Fleet_Asset__c","Master-Detail","Parent Vehicle. If the vehicle is deleted, the compliance history goes with it.","",""
"Asset Document","Document Type","Doc_Type__c","Picklist","Registration, Title, Inspection, Permit, Weight Certificate, Lease Agreement.","",""
"Asset Document","Document Number","Doc_Number__c","Text(50)","The unique ID on the physical paper (e.g., Reg #).","",""
"Asset Document","Issuing Authority","Issuing_Authority__c","Text(100)","e.g., ""California DMV"" or ""Ministry of Transport"". Kept as Text to support global variations.","",""
"Asset Document","Jurisdiction","Jurisdiction_Type__c","Picklist","Federal, State/Provincial, Municipal, Private.","",""
"Asset Document","Valid From","Valid_From__c","Date","","",""
"Asset Document","Valid Until","Valid_Until__c","Date","Critical. Drives the ""Expiring Soon"" alerts.","",""
"Asset Document","Is Required?","Is_Required__c","Checkbox","The Kill Switch. If True + Expired, automation grounds the asset.","",""
"Asset Document","Annual Renewal?","Annual_Renewal__c","Checkbox","If True, system auto-creates a Task for the Fleet Manager 30 days before expiry.","",""
"Asset Document","Status","Status__c","Picklist","Pending, Valid, Expired, Missing, Under Review.","",""
"Asset Document","Compliance State","Compliance_State__c","Formula","IF(Valid_Until__c < TODAY(), ""Expired"", IF(Valid_Until__c < TODAY()+30, ""Expiring Soon"", ""Valid"")).","",""
"Asset Document","External URL","Doc_Link__c","URL","Link to external cloud storage (SharePoint/Box) if files are not stored natively.","",""
"Asset Document","File Type","File_Type__c","Picklist","PDF, PNG, JPG, DocX. Helps filter views in the UI.","",""
"Asset Component","Component Name","Name","Text(100)","e.g., ""Battery Pack A"".","",""
"Asset Component","Fleet Asset","Fleet_Asset__c","Lookup","The vehicle it is currently inside.","",""
"Asset Component","Serial Number","Serial_Number__c","Text(50)","Unique ID for warranty tracking.","",""
"Asset Component","Component Type","Type__c","Picklist","","Battery, Tire, Engine, Transmission, Lift Gate.",""
"Asset Component","Install Date","Install_Date__c","Date","","",""
"Asset Component","Warranty Expiry","Warranty_End__c","Date","Triggers alerts if a component breaks while under warranty.","",""
"Asset Component","Status","Status__c","Picklist","","Active, In Repair, Replaced, Disposed.",""
"Fleet Branch","Branch Name","Name","Text(80)","e.g., ""Tel Aviv South Hub"", ""JFK Logistics Center"".","",""
"Fleet Branch","Branch ID","Branch_ID__c","Text(50)","External ID for integration with ERP/HR systems.","",""
"Fleet Branch","Location Type","Type__c","Picklist","HQ, Satellite Lot, Maintenance Yard, Employee Home (for take-home vehicles).","",""
"Fleet Branch","Is Active","Is_Active__c","Checkbox","If False, prevents new Reservations or Asset assignments to this location.","",""
"Fleet Branch","Geo Location","Location__c","Geolocation","Latitude/Longitude. Required for ""Find nearest available vehicle"" LWC logic.","",""
"Fleet Branch","Time Zone","Time_Zone__c","Picklist","Critical. Required for Reservation conflict checking (Start/End times) across regions.","",""
"Fleet Branch","Parking Capacity","Capacity__c","Number(5,0)","Max vehicle count. Used for inventory alerts (Current Assets vs. Capacity).","",""
"Fleet Branch","Street Address","Street__c","Text(255)","","",""
"Fleet Branch","City","City__c","Text(100)","","",""
"Fleet Branch","State/Province","State_Province__c","Text(100)","","",""
"Fleet Branch","Zip/Postal Code","Zip_Code__c","Text(20)","","",""
"Fleet Branch","Country","Country__c","Picklist","Standard ISO Country List.","",""
"Fleet Branch","Approving Manager","Manager__c","Lookup","Lookup to user","",""
"Fleet Branch","Schedule","Schedule__c","Lookup","Lookup to schedule object","",""
"Fleet Branch","Primary Contact","Primary_Contact__c","Lookup","Lookup to contact","",""
"Branch Assignment","Assignment ID","Name","Auto-Number","BRA-{0000}","",""
"Branch Assignment","Fleet Branch","Fleet_Branch__c","Master-Detail","The location they are accessing.","",""
"Branch Assignment","Assigned User","User__c","Lookup(User)","Security Anchor. Required for LWC visibility and Sharing Rules.","",""
"Branch Assignment","Assigned Contact","Contact__c","Lookup(Contact)","HR Anchor. Used for Experience Cloud setup or drivers who don't login.","",""
"Branch Assignment","Assignment Type","Type__c","Picklist","Internal Staff (Full License), Community Driver (Low Cost).","",""
"Branch Assignment","Role","Role__c","Picklist","Driver, Dispatcher, Branch Manager.","",""
"Branch Assignment","Is Primary","Is_Primary__c","Checkbox","Defaults the LWC ""Home Base"" selection to this branch.","",""
"Branch Assignment","Can Approve?","Can_Approve__c","Checkbox","Delegates approval authority (even to external Community users if flow permits).","",""
"Branch Assignment","Status","Status__c","Picklist","Active, Suspended.","",""
"Reservation","Reservation ID","Name","Auto-Number","RES-{0000}","",""
"Reservation","Requesting User","Requestor_User__c","Lookup(User)","The login user (Record Owner). Used for Sharing Rules (My Reservations).","",""
"Reservation","Requesting Driver","Requestor_Contact__c","Lookup(Contact)","Validation Anchor. Filter: RecordType='Fleet Driver'. Validates License/Status.","",""
"Reservation","Origin Branch","Origin_Branch__c","Lookup","Lookup(Fleet_Branch__c). Filters available assets by location.","",""
"Reservation","Destination Branch","Dest_Branch__c","Lookup","Lookup(Fleet_Branch__c). Differentiator. Allows ""One-Way"" trip logic. Defaults to Origin if blank.","",""
"Reservation","Start Time","Start_Time__c","DateTime","","",""
"Reservation","End Time","End_Time__c","DateTime","","",""
"Reservation","Min Seats","Min_Seats__c","Number(2,0)","Attribute Match. ""Find me a car with at least X seats.""","",""
"Reservation","Preferred Body","Preferred_Body__c","Picklist","Sedan, SUV, Pickup, Van.","",""
"Reservation","Preferred Engine","Preferred_Engine__c","Picklist","EV, ICE, Hybrid. (e.g., User wants to save carbon).","",""
"Reservation","Status","Status__c","Picklist","Draft, Pending Approval, Assigned, In Progress, Completed, Cancelled, Rejected.","",""
"Reservation","Priority","Priority__c","Picklist","Standard, VIP, Critical. (VIP allows overriding other reservations).","",""
