Object,Field_API_Name,Field_Label,Data_Type,Required,Picklist_Values,Lookup_Target_Object,Default_Value,Help_Text,Calc_Flag
Account,MasterRecordId,Master Record ID,reference,,,Account,,,
Account,Name,Account Name,string,Yes,,,,,
Account,Type,Account Type,picklist,,Prospect|Customer - Direct|Customer - Channel|Channel Partner / Reseller|Installation Partner|Technology Partner|Other,,,,
Account,ParentId,Parent Account ID,reference,,,Account,,,
Account,BillingStreet,Billing Street,textarea,,,,,,
Account,BillingCity,Billing City,string,,,,,,
Account,BillingState,Billing State/Province,string,,,,,,
Account,BillingPostalCode,Billing Zip/Postal Code,string,,,,,,
Account,BillingCountry,Billing Country,string,,,,,,
Account,BillingLatitude,Billing Latitude,double,,,,,,
Account,BillingLongitude,Billing Longitude,double,,,,,,
Account,BillingGeocodeAccuracy,Billing Geocode Accuracy,picklist,,Address|NearAddress|Block|Street|ExtendedZip|Zip|Neighborhood|City|County|State|Unknown,,,,
Account,BillingAddress,Billing Address,address,,,,,,
Account,ShippingStreet,Shipping Street,textarea,,,,,,
Account,ShippingCity,Shipping City,string,,,,,,
Account,ShippingState,Shipping State/Province,string,,,,,,
Account,ShippingPostalCode,Shipping Zip/Postal Code,string,,,,,,
Account,ShippingCountry,Shipping Country,string,,,,,,
Account,ShippingLatitude,Shipping Latitude,double,,,,,,
Account,ShippingLongitude,Shipping Longitude,double,,,,,,
Account,ShippingGeocodeAccuracy,Shipping Geocode Accuracy,picklist,,Address|NearAddress|Block|Street|ExtendedZip|Zip|Neighborhood|City|County|State|Unknown,,,,
Account,ShippingAddress,Shipping Address,address,,,,,,
Account,Phone,Account Phone,phone,,,,,,
Account,Fax,Account Fax,phone,,,,,,
Account,AccountNumber,Account Number,string,,,,,,
Account,Website,Website,url,,,,,,
Account,PhotoUrl,Photo URL,url,,,,,,
Account,Sic,SIC Code,string,,,,,,
Account,Industry,Industry,picklist,,Agriculture|Apparel|Banking|Biotechnology|Chemicals|Communications|Construction|Consulting|Education|Electronics|Energy|Engineering|Entertainment|Environmental|Finance|Food & Beverage|Government|Healthcare|Hospitality|Insurance|Machinery|Manufacturing|Media|Not For Profit|Recreation|Retail|Shipping|Technology|Telecommunications|Transportation|Utilities|Other,,,,
Account,AnnualRevenue,Annual Revenue,currency,,,,,,
Account,NumberOfEmployees,Employees,int,,,,,,
Account,Ownership,Ownership,picklist,,Public|Private|Subsidiary|Other,,,,
Account,TickerSymbol,Ticker Symbol,string,,,,,,
Account,Description,Account Description,textarea,,,,,,
Account,Rating,Account Rating,picklist,,Hot|Warm|Cold,,,,
Account,Site,Account Site,string,,,,,,
Account,OwnerId,Owner ID,reference,Yes,,User,,,
Account,Jigsaw,Data.com Key,string,,,,,,
Account,JigsawCompanyId,Jigsaw Company ID,string,,,,,,
Account,AccountSource,Account Source,picklist,,Web|Phone Inquiry|Partner Referral|Purchased List|Other,,,,
Account,DunsNumber,D-U-N-S Number,string,,,,,,
Account,Tradestyle,Tradestyle,string,,,,,,
Account,NaicsCode,NAICS Code,string,,,,,,
Account,NaicsDesc,NAICS Description,string,,,,,,
Account,YearStarted,Year Started,string,,,,,,
Account,SicDesc,SIC Description,string,,,,,,
Account,DandbCompanyId,D&B Company ID,reference,,,DandBCompany,,,
Contact,MasterRecordId,Master Record ID,reference,,,Contact,,,
Contact,AccountId,Account ID,reference,,,Account,,,
Contact,LastName,Last Name,string,Yes,,,,,
Contact,FirstName,First Name,string,,,,,,
Contact,Salutation,Salutation,picklist,,Mr.|Ms.|Mrs.|Dr.|Prof.|Mx.,,,,
Contact,Name,Full Name,string,,,,,,
Contact,OtherStreet,Other Street,textarea,,,,,,
Contact,OtherCity,Other City,string,,,,,,
Contact,OtherState,Other State/Province,string,,,,,,
Contact,OtherPostalCode,Other Zip/Postal Code,string,,,,,,
Contact,OtherCountry,Other Country,string,,,,,,
Contact,OtherLatitude,Other Latitude,double,,,,,,
Contact,OtherLongitude,Other Longitude,double,,,,,,
Contact,OtherGeocodeAccuracy,Other Geocode Accuracy,picklist,,Address|NearAddress|Block|Street|ExtendedZip|Zip|Neighborhood|City|County|State|Unknown,,,,
Contact,OtherAddress,Other Address,address,,,,,,
Contact,MailingStreet,Mailing Street,textarea,,,,,,
Contact,MailingCity,Mailing City,string,,,,,,
Contact,MailingState,Mailing State/Province,string,,,,,,
Contact,MailingPostalCode,Mailing Zip/Postal Code,string,,,,,,
Contact,MailingCountry,Mailing Country,string,,,,,,
Contact,MailingLatitude,Mailing Latitude,double,,,,,,
Contact,MailingLongitude,Mailing Longitude,double,,,,,,
Contact,MailingGeocodeAccuracy,Mailing Geocode Accuracy,picklist,,Address|NearAddress|Block|Street|ExtendedZip|Zip|Neighborhood|City|County|State|Unknown,,,,
Contact,MailingAddress,Mailing Address,address,,,,,,
Contact,Phone,Business Phone,phone,,,,,,
Contact,Fax,Business Fax,phone,,,,,,
Contact,MobilePhone,Mobile Phone,phone,,,,,,
Contact,HomePhone,Home Phone,phone,,,,,,
Contact,OtherPhone,Other Phone,phone,,,,,,
Contact,AssistantPhone,Asst. Phone,phone,,,,,,
Contact,ReportsToId,Reports To ID,reference,,,Contact,,,
Contact,Email,Email,email,,,,,,
Contact,Title,Title,string,,,,,,
Contact,Department,Department,string,,,,,,
Contact,AssistantName,Assistant's Name,string,,,,,,
Contact,LeadSource,Lead Source,picklist,,Web|Phone Inquiry|Partner Referral|Purchased List|Other,,,,
Contact,Birthdate,Birthdate,date,,,,,,
Contact,Description,Contact Description,textarea,,,,,,
Contact,OwnerId,Owner ID,reference,Yes,,User,,,
Contact,LastCURequestDate,Last Stay-in-Touch Request Date,datetime,,,,,,
Contact,LastCUUpdateDate,Last Stay-in-Touch Save Date,datetime,,,,,,
Contact,EmailBouncedReason,Email Bounced Reason,string,,,,,,
Contact,EmailBouncedDate,Email Bounced Date,datetime,,,,,,
Contact,IsEmailBounced,Is Email Bounced,boolean,,,,False,,
Contact,PhotoUrl,Photo URL,url,,,,,,
Contact,Jigsaw,Data.com Key,string,,,,,,
Contact,JigsawContactId,Jigsaw Contact ID,string,,,,,,
Contact,IndividualId,Individual ID,reference,,,Individual,,,
Contact,IsPriorityRecord,Important,boolean,,,,False,,
Contact,ContactSource,Creation Source,picklist,,Auto Create|Email Message|Meeting Digest|Seller Home,,,,
Contact,fleetforce__Contact_Type__c,Contact Type,picklist,,Driver|Manager|Mechanic|Admin|Other,,Driver,,
Contact,fleetforce__Driver_Branch__c,Driver Branch,reference,,,fleetforce__Fleet_Branch__c,,,
Contact,fleetforce__Driver_Status__c,Driver Status,picklist,,Active|Inactive|Suspended|On Leave,,Active,,
Contact,fleetforce__License_Class__c,License Class,picklist,,Class A CDL|Class B CDL|Class C CDL|Class D|Motorcycle|None,,Class A CDL,,
Contact,fleetforce__License_Expiry__c,License Expiry,date,,,,,,
Contact,fleetforce__License_Number__c,License Number,string,,,,,,
Contact,fleetforce__License_State__c,License State,picklist,,AL|AK|AZ|AR|CA|CO|CT|DE|FL|GA|HI|ID|IL|IN|IA|KS|KY|LA|ME|MD|MA|MI|MN|MS|MO|MT|NE|NV|NH|NJ|NM|NY|NC|ND|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VT|VA|WA|WV|WI|WY|DC,,,,
Contact,fleetforce__Medical_Cert__c,Medical Cert Date,date,,,,,,
Contact,fleetforce__Related_User__c,Related User,reference,,,User,,,
Contact,fleetforce__Safety_Score__c,Safety Score,double,,,,,,
Fleet_Schedule__c,OwnerId,Owner ID,reference,Yes,,Group|User,,,
Fleet_Schedule__c,Name,Name,string,,,,,,
Fleet_Schedule__c,fleetforce__Effective_From__c,Effective From,date,,,,,,
Fleet_Schedule__c,fleetforce__Effective_Until__c,Effective Until,date,,,,,,
Fleet_Schedule__c,fleetforce__Grace_Period_Mins__c,Grace Period,double,,,,,,
Fleet_Schedule__c,fleetforce__Is_24_7__c,Is 24/7?,boolean,Yes,,,False,,
Fleet_Schedule__c,fleetforce__Time_Zone__c,Time Zone,picklist,,Eastern|Central|Mountain|Pacific|Alaska|Hawaii,,Eastern,,
Fleet_Schedule__c,fleetforce__Total_Hours__c,Total Weekly Hours,double,,,,,,
Fleet_Schedule__c,fleetforce__Type__c,Type,picklist,,Recurring|One-Time|Seasonal|Event-Based,,Recurring,,
Fleet_Branch__c,OwnerId,Owner ID,reference,Yes,,Group|User,,,
Fleet_Branch__c,Name,Name,string,,,,,,
Fleet_Branch__c,fleetforce__Approving_Manager__c,Approving Manager,reference,,,Contact,,,
Fleet_Branch__c,fleetforce__Branch_ID__c,Branch ID,string,,,,,,
Fleet_Branch__c,fleetforce__Capacity__c,Parking Capacity,double,,,,,,
Fleet_Branch__c,fleetforce__City__c,City,string,,,,,,
Fleet_Branch__c,fleetforce__Country__c,Country,picklist,,United States|Canada|Mexico|United Kingdom|Other,,United States,,
Fleet_Branch__c,fleetforce__County_Province__c,County/Province,string,,,,,,
Fleet_Branch__c,fleetforce__Email__c,Email,email,,,,,,
Fleet_Branch__c,fleetforce__Is_Active__c,Is Active,boolean,Yes,,,False,,
Fleet_Branch__c,fleetforce__Location__Latitude__s,Geo Location (Latitude),double,,,,,,
Fleet_Branch__c,fleetforce__Location__Longitude__s,Geo Location (Longitude),double,,,,,,
Fleet_Branch__c,fleetforce__Location__c,Geo Location,location,,,,,,
Fleet_Branch__c,fleetforce__Phone__c,Phone,phone,,,,,,
