"Id","OwnerId","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Fleet_Asset__c","fleetforce__Install_Date__c","fleetforce__Monthly_Cost__c","fleetforce__Ownership_Type__c","fleetforce__Parent_Component__c","fleetforce__Purchase_Price__c","fleetforce__Serial_Number__c","fleetforce__Status__c","fleetforce__Subscription_End__c","fleetforce__Subscription_Start__c","fleetforce__Type__c","fleetforce__Uninstall_Date__c","fleetforce__Vendor__c","fleetforce__Warranty_End__c","Owner.Name","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c","fleetforce__Parent_Component__r.Name"
"a03Wm00000GHB6WIAX","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0115)","2026-08-19T20:42:25.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:25.000+0000","005Wm000002EIUDIA4","a0CWm00000xn6nAMAQ","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0115","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0115","#N/A"
"a03Wm00000GHBCMIA5","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0105)","2026-08-19T20:42:23.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:23.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3SnMAI","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0105","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0105","#N/A"
"a03Wm00000GHBcAIAX","005Wm000002EIUDIA4","EV Battery Pack 75kWh (FA-0111)","2026-08-19T20:42:23.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:23.000+0000","005Wm000002EIUDIA4","a0CWm00000xn0l1MAA","2024-01-01","#N/A","OEM Bundled","#N/A","14500","SN-BAT-EV-0111","Active","#N/A","#N/A","Battery","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0111","#N/A"
"a03Wm00000GHBcBIAX","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0125)","2026-08-19T20:42:25.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:25.000+0000","005Wm000002EIUDIA4","a0CWm00000xn890MAA","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0125","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0125","#N/A"
"a03Wm00000GHBcCIAX","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0110)","2026-08-19T20:42:27.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:27.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8tiMAA","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0110","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0110","#N/A"
"a03Wm00000GHFpSIAX","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0128)","2026-08-19T20:42:25.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:25.000+0000","005Wm000002EIUDIA4","a0CWm00000xn7w9MAA","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0128","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0128","#N/A"
"a03Wm00000GHGK6IAP","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0129)","2026-08-19T20:42:22.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:22.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy79MAA","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0129","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0129","#N/A"
"a03Wm00000GHGK7IAP","005Wm000002EIUDIA4","Heavy Duty Turbo Diesel Engine (FA-0119)","2026-08-19T20:42:24.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:24.000+0000","005Wm000002EIUDIA4","a0CWm00000xn4VIMAY","2024-01-01","#N/A","OEM Bundled","#N/A","12800","SN-ENG-DSL-0119","Active","#N/A","#N/A","Engine","#N/A","001Wm00000K8LJuIAN","2028-12-31","User User","User User","User User","FA-0119","#N/A"
"a03Wm00000GHGLiIAP","005Wm000002EIUDIA4","Automatic Transmission Assembly (FA-0104)","2026-08-19T20:42:25.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:25.000+0000","005Wm000002EIUDIA4","a0CWm00000xn6SoMAI","2024-01-01","#N/A","OEM Bundled","#N/A","4200","SN-TRN-AT-0104","Active","#N/A","#N/A","Transmission","#N/A","001Wm00000K802qIAB","2028-12-31","User User","User User","User User","FA-0104","#N/A"
"a03Wm00000GHGQYIA5","005Wm000002EIUDIA4","Heavy Duty Turbo Diesel Engine (FA-0108)","2026-08-19T20:42:22.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:22.000+0000","005Wm000002EIUDIA4","a0CWm00000xmwMdMAI","2024-01-01","#N/A","OEM Bundled","#N/A","12800","SN-ENG-DSL-0108","Active","#N/A","#N/A","Engine","#N/A","001Wm00000K8LJuIAN","2028-12-31","User User","User User","User User","FA-0108","#N/A"
