"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Fleet_Asset__c","fleetforce__Annual_Renewal__c","fleetforce__Compliance_State__c","fleetforce__Doc_Link__c","fleetforce__Doc_Number__c","fleetforce__Doc_Type__c","fleetforce__File_Type__c","fleetforce__Is_Required__c","fleetforce__Issuing_Authority__c","fleetforce__Jurisdiction_Type__c","fleetforce__Status__c","fleetforce__Valid_From__c","fleetforce__Valid_Until__c","fleetforce__Days_Until_Expiry__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c"
"a04Wm000000EJIvIAO","State Registration Certificate (FA-0109)","2026-08-19T20:42:27.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:27.000+0000","005Wm000002EIUDIA4","a0CWm00000xmuPbMAI","true","GA","https://www.fleetforce-demo.com/docs/reg/REG-GA-2024-0109.pdf","REG-GA-2024-0109","Registration","PDF","true","GA Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0109"
"a04Wm000000EJKXIA4","Annual DOT Safety Inspection Report (FA-0109)","2026-08-19T20:42:27.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:27.000+0000","005Wm000002EIUDIA4","a0CWm00000xmuPbMAI","true","GA","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-GA-990109.pdf","INSP-DOT-GA-990109","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0109"
"a04Wm000000EJKYIA4","State Registration Certificate (FA-0133)","2026-08-19T20:42:32.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:32.000+0000","005Wm000002EIUDIA4","a0CWm00000xn42dMAA","true","AZ","https://www.fleetforce-demo.com/docs/reg/REG-AZ-2024-0133.pdf","REG-AZ-2024-0133","Registration","PDF","true","AZ Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0133"
"a04Wm000000EJM9IAO","State Registration Certificate (FA-0108)","2026-08-19T20:42:27.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:27.000+0000","005Wm000002EIUDIA4","a0CWm00000xmwMdMAI","true","GA","https://www.fleetforce-demo.com/docs/reg/REG-GA-2024-0108.pdf","REG-GA-2024-0108","Registration","PDF","true","GA Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0108"
"a04Wm000000EJMAIA4","Annual DOT Safety Inspection Report (FA-0102)","2026-08-19T20:42:28.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:28.000+0000","005Wm000002EIUDIA4","a0CWm00000xmxXYMAY","true","GA","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-GA-990102.pdf","INSP-DOT-GA-990102","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0102"
"a04Wm000000EJMBIA4","State Registration Certificate (FA-0132)","2026-08-19T20:42:29.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:29.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy7AMAQ","true","AZ","https://www.fleetforce-demo.com/docs/reg/REG-AZ-2024-0132.pdf","REG-AZ-2024-0132","Registration","PDF","true","AZ Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0132"
"a04Wm000000EJNlIAO","Annual DOT Safety Inspection Report (FA-0108)","2026-08-19T20:42:27.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:27.000+0000","005Wm000002EIUDIA4","a0CWm00000xmwMdMAI","true","GA","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-GA-990108.pdf","INSP-DOT-GA-990108","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0108"
"a04Wm000000EJPNIA4","State Registration Certificate (FA-0102)","2026-08-19T20:42:27.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:27.000+0000","005Wm000002EIUDIA4","a0CWm00000xmxXYMAY","true","GA","https://www.fleetforce-demo.com/docs/reg/REG-GA-2024-0102.pdf","REG-GA-2024-0102","Registration","PDF","true","GA Department of Revenue / DMV","State","Current","2024-01-01","2027-04-30","252","User User","User User","FA-0102"
"a04Wm000000EJQzIAO","State Registration Certificate (FA-0103)","2026-08-19T20:42:28.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:28.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy2SMAQ","true","GA","https://www.fleetforce-demo.com/docs/reg/REG-GA-2024-0103.pdf","REG-GA-2024-0103","Registration","PDF","true","GA Department of Revenue / DMV","State","Expiring Soon","2024-01-01","2026-08-31","10","User User","User User","FA-0103"
"a04Wm000000EJSbIAO","Annual DOT Safety Inspection Report (FA-0103)","2026-08-19T20:42:28.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:28.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy2SMAQ","true","GA","https://www.fleetforce-demo.com/docs/insp/INSP-DOT-GA-990103.pdf","INSP-DOT-GA-990103","Inspection Report","PDF","true","FMCSA / Commercial Safety Division","Federal","Current","2024-02-15","2027-02-15","178","User User","User User","FA-0103"
