"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Cert_Number__c","fleetforce__Date_Added__c","fleetforce__Fleet_Asset__c","fleetforce__Insurance_Policy__c","fleetforce__Is_Active__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c","fleetforce__Insurance_Policy__r.Name"
"a05Wm000002f894IAA","INS-LINK-FA-0124","2026-08-19T20:40:56.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:56.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0124","2024-01-01","a0CWm00000xn42cMAA","a0HWm0000006fIDMAY","true","User User","User User","FA-0124","POL-2024-TRV-001"
"a05Wm000002f9ZeIAI","INS-LINK-FA-0114","2026-08-19T20:40:55.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:55.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0114","2024-01-01","a0CWm00000xn3shMAA","a0HWm0000006fIDMAY","true","User User","User User","FA-0114","POL-2024-TRV-001"
"a05Wm000002f9whIAA","INS-LINK-FA-0107","2026-08-19T20:40:58.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:58.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0107","2024-01-01","a0CWm00000xn8grMAA","a0HWm0000006fIDMAY","true","User User","User User","FA-0107","POL-2024-TRV-001"
"a05Wm000002fA2mIAE","INS-LINK-FA-0127","2026-08-19T20:40:57.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:57.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0127","2024-01-01","a0CWm00000xn7w8MAA","a0HWm0000006fIDMAY","true","User User","User User","FA-0127","POL-2024-TRV-001"
"a05Wm000002fAFJIA2","INS-LINK-FA-0101","2026-08-19T20:40:58.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:58.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0101","2024-01-01","a0CWm00000xn8lfMAA","a0HWm0000006fIDMAY","true","User User","User User","FA-0101","POL-2024-TRV-001"
"a05Wm000002fBjVIAU","INS-LINK-FA-0116","2026-08-19T20:40:57.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:57.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0116","2024-01-01","a0CWm00000xn7VgMAI","a0HWm0000006fIDMAY","true","User User","User User","FA-0116","POL-2024-TRV-001"
"a05Wm000002fBjWIAU","INS-LINK-FA-0130","2026-08-19T20:40:57.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:57.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0130","2024-01-01","a0CWm00000xn7umMAA","a0HWm0000006fIDMAY","true","User User","User User","FA-0130","POL-2024-TRV-001"
"a05Wm000002fBuqIAE","INS-LINK-FA-0102","2026-08-19T20:40:54.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:54.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0102","2024-01-01","a0CWm00000xmxXYMAY","a0HWm0000006fIDMAY","true","User User","User User","FA-0102","POL-2024-TRV-001"
"a05Wm000002fBurIAE","INS-LINK-FA-0132","2026-08-19T20:40:54.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:54.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0132","2024-01-01","a0CWm00000xmy7AMAQ","a0HWm0000006fIDMAY","true","User User","User User","FA-0132","POL-2024-TRV-001"
"a05Wm000002fC2vIAE","INS-LINK-FA-0112","2026-08-19T20:40:58.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:58.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0112","2024-01-01","a0CWm00000xn8VZMAY","a0HWm0000006fIDMAY","true","User User","User User","FA-0112","POL-2024-TRV-001"
"a05Wm000002fDJVIA2","INS-LINK-FA-0109","2026-08-19T20:40:53.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:53.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0109","2024-01-01","a0CWm00000xmuPbMAI","a0HWm0000006fIDMAY","true","User User","User User","FA-0109","POL-2024-TRV-001"
"a05Wm000002fDL7IAM","INS-LINK-FA-0108","2026-08-19T20:40:54.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:54.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0108","2024-01-01","a0CWm00000xmwMdMAI","a0HWm0000006fIDMAY","true","User User","User User","FA-0108","POL-2024-TRV-001"
"a05Wm000002fDL8IAM","INS-LINK-FA-0111","2026-08-19T20:40:55.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:55.000+0000","005Wm000002EIUDIA4","CERT-INS-2024-0111","2024-01-01","a0CWm00000xn0l1MAA","a0HWm0000006fIDMAY","true","User User","User User","FA-0111","POL-2024-TRV-001"
