"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__End_Time__c","fleetforce__Fleet_Asset__c","fleetforce__Reason__c","fleetforce__Source_ID__c","fleetforce__Start_Time__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c"
"a07Wm00000CeTKOIA3","ABO-0017","2026-08-20T13:56:31.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:31.000+0000","005Wm000002EIUDIA4","2026-08-19T17:00:00.000+0000","a0CWm00000xn890MAA","Maintenance","ST-0028","2026-08-18T08:00:00.000+0000","User User","User User","FA-0125"
"a07Wm00000CeXfSIAV","ABO-0024","2026-08-20T13:56:32.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:32.000+0000","005Wm000002EIUDIA4","2026-08-19T16:00:00.000+0000","a0CWm00000xn6SoMAI","Maintenance","ST-0032","2026-08-18T10:00:00.000+0000","User User","User User","FA-0104"
"a07Wm00000CeYmOIAV","ABO-0013","2026-08-20T13:56:31.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:31.000+0000","005Wm000002EIUDIA4","2026-08-26T17:00:00.000+0000","a0CWm00000xmy2TMAQ","Reservation","RES-0006","2026-08-24T08:30:00.000+0000","User User","User User","FA-0122"
"a07Wm00000CeYo5IAF","ABO-0005","2026-08-20T13:56:30.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:30.000+0000","005Wm000002EIUDIA4","2026-08-24T18:00:00.000+0000","a0CWm00000xn8grMAA","Allocation","ALL-0107","2026-08-23T08:00:00.000+0000","User User","User User","FA-0107"
"a07Wm00000CeYo6IAF","ABO-0006","2026-08-20T13:56:30.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:30.000+0000","005Wm000002EIUDIA4","2026-09-07T14:00:00.000+0000","a0CWm00000xn7umMAA","Allocation","ALL-0130","2026-09-07T06:00:00.000+0000","User User","User User","FA-0130"
"a07Wm00000CeYwKIAV","ABO-0019","2026-08-20T13:56:32.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:32.000+0000","005Wm000002EIUDIA4","2026-08-19T17:00:00.000+0000","a0CWm00000xn3SnMAI","Maintenance","ST-0035","2026-08-18T09:00:00.000+0000","User User","User User","FA-0105"
"a07Wm00000CeYwLIAV","ABO-0023","2026-08-20T13:56:32.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:32.000+0000","005Wm000002EIUDIA4","2026-08-22T17:00:00.000+0000","a0CWm00000xn6SoMAI","Reservation","RES-0002","2026-08-21T08:00:00.000+0000","User User","User User","FA-0104"
"a07Wm00000CeZDlIAN","ABO-0016","2026-08-20T13:56:31.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:31.000+0000","005Wm000002EIUDIA4","2026-08-19T18:00:00.000+0000","a0CWm00000xn8tiMAA","Reservation","RES-0014","2026-08-17T08:00:00.000+0000","User User","User User","FA-0110"
"a07Wm00000CeZtnIAF","ABO-0004","2026-08-20T13:56:30.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:30.000+0000","005Wm000002EIUDIA4","2026-08-19T18:00:00.000+0000","a0CWm00000xn8VZMAY","Reservation","RES-0004","2026-08-18T07:30:00.000+0000","User User","User User","FA-0112"
"a07Wm00000CeaeDIAR","ABO-0008","2026-08-20T13:56:30.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:30.000+0000","005Wm000002EIUDIA4","2026-08-18T18:00:00.000+0000","a0CWm00000xmwMdMAI","Maintenance","ST-0031","2026-08-18T07:00:00.000+0000","User User","User User","FA-0108"
"a07Wm00000CeaeEIAR","ABO-0012","2026-08-20T13:56:31.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:31.000+0000","005Wm000002EIUDIA4","2026-08-20T10:00:00.000+0000","a0CWm00000xn8VZMAY","Reservation","RES-0005","2026-08-18T14:00:00.000+0000","User User","User User","FA-0112"
"a07Wm00000CeaeFIAR","ABO-0021","2026-08-20T13:56:32.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:32.000+0000","005Wm000002EIUDIA4","2026-08-18T16:30:00.000+0000","a0CWm00000xn8IeMAI","Reservation","RES-0015","2026-08-18T06:30:00.000+0000","User User","User User","FA-0120"
"a07Wm00000CebbpIAB","ABO-0009","2026-08-20T13:56:30.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:30.000+0000","005Wm000002EIUDIA4","2026-08-10T17:30:00.000+0000","a0CWm00000xn0gZMAQ","Allocation","ALL-0117","2026-08-10T08:30:00.000+0000","User User","User User","FA-0117"
"a07Wm00000CebsaIAB","ABO-0025","2026-08-20T13:56:32.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:32.000+0000","005Wm000002EIUDIA4","2026-08-19T18:00:00.000+0000","a0CWm00000xn7VgMAI","Maintenance","ST-0034","2026-08-18T08:30:00.000+0000","User User","User User","FA-0116"
"a07Wm00000Cec1hIAB","ABO-0007","2026-08-20T13:56:30.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:30.000+0000","005Wm000002EIUDIA4","2026-08-23T12:00:00.000+0000","a0CWm00000xn6SoMAI","Reservation","RES-0003","2026-08-21T13:00:00.000+0000","User User","User User","FA-0104"
"a07Wm00000CecxhIAB","ABO-0003","2026-08-20T13:56:29.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:29.000+0000","005Wm000002EIUDIA4","2026-08-19T17:00:00.000+0000","a0CWm00000xn3shMAA","Maintenance","ST-0033","2026-08-18T11:00:00.000+0000","User User","User User","FA-0114"
"a07Wm00000CedHuIAJ","ABO-0020","2026-08-20T13:56:32.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:32.000+0000","005Wm000002EIUDIA4","2026-08-25T17:00:00.000+0000","a0CWm00000xmy2SMAQ","Allocation","ALL-0103","2026-08-25T08:00:00.000+0000","User User","User User","FA-0103"
"a07Wm00000CeeOcIAJ","ABO-0010","2026-08-20T13:56:30.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:30.000+0000","005Wm000002EIUDIA4","2026-08-19T17:00:00.000+0000","a0CWm00000xn4VJMAY","Maintenance","ST-0030","2026-08-18T09:30:00.000+0000","User User","User User","FA-0121"
"a07Wm00000CeeOdIAJ","ABO-0026","2026-08-20T13:56:33.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:33.000+0000","005Wm000002EIUDIA4","2026-08-18T18:00:00.000+0000","a0CWm00000xn8qWMAQ","Reservation","RES-0012","2026-08-18T08:00:00.000+0000","User User","User User","FA-0126"
"a07Wm00000CeebLIAR","ABO-0011","2026-08-20T13:56:31.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:31.000+0000","005Wm000002EIUDIA4","2027-12-31T23:59:00.000+0000","a0CWm00000xn8aTMAQ","Grounded.","DEC-0135","2026-01-01T00:00:00.000+0000","User User","User User","FA-0135"
"a07Wm00000CegAWIAZ","ABO-0002","2026-08-20T13:56:29.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:29.000+0000","005Wm000002EIUDIA4","2026-08-27T18:00:00.000+0000","a0CWm00000xmy2TMAQ","Reservation","RES-0007","2026-08-25T09:00:00.000+0000","User User","User User","FA-0122"
"a07Wm00000CegstIAB","ABO-0018","2026-08-20T13:56:32.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:32.000+0000","005Wm000002EIUDIA4","2026-08-18T17:00:00.000+0000","a0CWm00000xn8lfMAA","Reservation","RES-0013","2026-08-18T07:00:00.000+0000","User User","User User","FA-0101"
"a07Wm00000CegsuIAB","ABO-0022","2026-08-20T13:56:32.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:32.000+0000","005Wm000002EIUDIA4","2026-08-28T16:00:00.000+0000","a0CWm00000xn6nAMAQ","Allocation","ALL-0115","2026-08-26T10:00:00.000+0000","User User","User User","FA-0115"
"a07Wm00000Ceh92IAB","ABO-0014","2026-08-20T13:56:31.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:31.000+0000","005Wm000002EIUDIA4","2027-12-31T23:59:00.000+0000","a0CWm00000xn5uYMAQ","Grounded.","RET-0118","2026-01-01T00:00:00.000+0000","User User","User User","FA-0118"
"a07Wm00000Ceh93IAB","ABO-0015","2026-08-20T13:56:31.000+0000","005Wm000002EIUDIA4","2026-08-20T13:56:31.000+0000","005Wm000002EIUDIA4","2026-08-19T18:00:00.000+0000","a0CWm00000xn4VIMAY","Maintenance","ST-0029","2026-08-17T13:00:00.000+0000","User User","User User","FA-0119"
