"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Asset_Component__c","fleetforce__CO2_KG__c","fleetforce__Calc_Method__c","fleetforce__Date__c","fleetforce__Emission_Factor__c","fleetforce__Fleet_Asset__c","fleetforce__Offset_Status__c","fleetforce__Scope__c","fleetforce__Source_Fuel_Log__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Asset_Component__r.Name","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c","fleetforce__Source_Fuel_Log__r.Name"
"a09Wm000005aMjuIAE","CL-FA-0135-1030","2026-08-19T20:43:44.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:44.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-16","8.89","a0CWm00000xn8aTMAQ","Unmitigated","Scope 1 (Combustion)","a0GWm000000f5IHMAY","User User","User User","#N/A","FA-0135","FL-FA-0135-1030"
"a09Wm000005admiIAA","CL-FA-0101-1032","2026-08-19T20:43:44.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:44.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-10","8.89","a0CWm00000xn8lfMAA","Partially Offset","Scope 1 (Combustion)","a0GWm000000f5IIMAY","User User","User User","#N/A","FA-0101","FL-FA-0101-1032"
"a09Wm000005admjIAA","CL-FA-0126-1033","2026-08-19T20:43:44.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:44.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-11","8.89","a0CWm00000xn8qWMAQ","Unmitigated","Scope 1 (Combustion)","a0GWm000000f5JtMAI","User User","User User","#N/A","FA-0126","FL-FA-0126-1033"
"a09Wm000005aeFRIAY","CL-FA-0122-1004","2026-08-19T20:43:40.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:40.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-14","8.89","a0CWm00000xmy2TMAQ","Partially Offset","Scope 1 (Combustion)","a0GWm000000f4inMAA","User User","User User","#N/A","FA-0122","FL-FA-0122-1004"
"a09Wm000005aeFSIAY","CL-FA-0112-1029","2026-08-19T20:43:44.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:44.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-15","8.89","a0CWm00000xn8VZMAY","Partially Offset","Scope 1 (Combustion)","a0GWm000000f5GfMAI","User User","User User","#N/A","FA-0112","FL-FA-0112-1029"
"a09Wm000005aeQjIAI","CL-FA-0111-1008","2026-08-19T20:43:41.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:41.000+0000","005Wm000002EIUDIA4","#N/A","22.5","Regional Grid (EV).","2026-08-10","0.385","a0CWm00000xn0l1MAA","Partially Offset","Scope 2 (Purchased Energy/EV).","a0GWm000000f4pFMAQ","User User","User User","#N/A","FA-0111","FL-FA-0111-1008"
"a09Wm000005agSXIAY","CL-FA-0114-1013","2026-08-19T20:43:41.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:41.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-15","8.89","a0CWm00000xn3shMAA","Partially Offset","Scope 1 (Combustion)","a0GWm000000f4FnMAI","User User","User User","#N/A","FA-0114","FL-FA-0114-1013"
"a09Wm000005agSYIAY","CL-FA-0121-1018","2026-08-19T20:43:42.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:42.000+0000","005Wm000002EIUDIA4","#N/A","250.1","Standard EPA","2026-08-12","10.21","a0CWm00000xn4VJMAY","Unmitigated","Scope 1 (Combustion)","a0GWm000000f529MAA","User User","User User","#N/A","FA-0121","FL-FA-0121-1018"
"a09Wm000005ah5FIAQ","CL-FA-0116-1022","2026-08-19T20:43:43.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:43.000+0000","005Wm000002EIUDIA4","#N/A","250.1","Standard EPA","2026-08-16","10.21","a0CWm00000xn7VgMAI","Partially Offset","Scope 1 (Combustion)","a0GWm000000f56zMAA","User User","User User","#N/A","FA-0116","FL-FA-0116-1022"
"a09Wm000005ahLOIAY","CL-FA-0105-1011","2026-08-19T20:43:41.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:41.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-13","8.89","a0CWm00000xn3SnMAI","Partially Offset","Scope 1 (Combustion)","a0GWm000000f4u5MAA","User User","User User","#N/A","FA-0105","FL-FA-0105-1011"
"a09Wm000005ahq1IAA","CL-FA-0109-1000","2026-08-19T20:43:40.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:40.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-10","8.89","a0CWm00000xmuPbMAI","Unmitigated","Scope 1 (Combustion)","a0GWm000000f4cLMAQ","User User","User User","#N/A","FA-0109","FL-FA-0109-1000"
"a09Wm000005ahzhIAA","CL-FA-0115-1021","2026-08-19T20:43:42.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:42.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-15","8.89","a0CWm00000xn6nAMAQ","Unmitigated","Scope 1 (Combustion)","a0GWm000000f4qsMAA","User User","User User","#N/A","FA-0115","FL-FA-0115-1021"
"a09Wm000005ai69IAA","CL-FA-0102-1002","2026-08-19T20:43:40.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:40.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-12","8.89","a0CWm00000xmxXYMAY","Partially Offset","Scope 1 (Combustion)","a0GWm000000f4fZMAQ","User User","User User","#N/A","FA-0102","FL-FA-0102-1002"
"a09Wm000005ai7hIAA","CL-FA-0108-1001","2026-08-19T20:43:40.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:40.000+0000","005Wm000002EIUDIA4","#N/A","250.1","Standard EPA","2026-08-11","10.21","a0CWm00000xmwMdMAI","Partially Offset","Scope 1 (Combustion)","a0GWm000000f4dxMAA","User User","User User","#N/A","FA-0108","FL-FA-0108-1001"
"a09Wm000005ai7iIAA","CL-FA-0130-1023","2026-08-19T20:43:43.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:43.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-17","8.89","a0CWm00000xn7umMAA","Partially Offset","Scope 1 (Combustion)","a0GWm000000f58bMAA","User User","User User","#N/A","FA-0130","FL-FA-0130-1023"
"a09Wm000005ai9JIAQ","CL-FA-0103-1003","2026-08-19T20:43:40.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:40.000+0000","005Wm000002EIUDIA4","#N/A","22.5","Regional Grid (EV).","2026-08-13","0.385","a0CWm00000xmy2SMAQ","Unmitigated","Scope 2 (Purchased Energy/EV).","a0GWm000000f4hBMAQ","User User","User User","#N/A","FA-0103","FL-FA-0103-1003"
"a09Wm000005aiAvIAI","CL-FA-0129-1005","2026-08-19T20:43:40.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:40.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-15","8.89","a0CWm00000xmy79MAA","Partially Offset","Scope 1 (Combustion)","a0GWm000000f4kPMAQ","User User","User User","#N/A","FA-0129","FL-FA-0129-1005"
"a09Wm000005aiCXIAY","CL-FA-0132-1006","2026-08-19T20:43:40.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:40.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-16","8.89","a0CWm00000xmy7AMAQ","Unmitigated","Scope 1 (Combustion)","a0GWm000000f4m1MAA","User User","User User","#N/A","FA-0132","FL-FA-0132-1006"
"a09Wm000005aiCYIAY","CL-FA-0107-1031","2026-08-19T20:43:44.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:44.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-17","8.89","a0CWm00000xn8grMAA","Partially Offset","Scope 1 (Combustion)","a0GWm000000f5F4MAI","User User","User User","#N/A","FA-0107","FL-FA-0107-1031"
"a09Wm000005aiE9IAI","CL-FA-0117-1007","2026-08-19T20:43:41.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:41.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-17","8.89","a0CWm00000xn0gZMAQ","Partially Offset","Scope 1 (Combustion)","a0GWm000000f4ndMAA","User User","User User","#N/A","FA-0117","FL-FA-0117-1007"
"a09Wm000005aiEAIAY","CL-FA-0125-1026","2026-08-19T20:43:43.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:43.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-12","8.89","a0CWm00000xn890MAA","Partially Offset","Scope 1 (Combustion)","a0GWm000000f5BqMAI","User User","User User","#N/A","FA-0125","FL-FA-0125-1026"
"a09Wm000005aiFlIAI","CL-FA-0113-1009","2026-08-19T20:43:41.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:41.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-11","8.89","a0CWm00000xn134MAA","Unmitigated","Scope 1 (Combustion)","a0GWm000000f4qrMAA","User User","User User","#N/A","FA-0113","FL-FA-0113-1009"
"a09Wm000005aiHNIAY","CL-FA-0123-1010","2026-08-19T20:43:41.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:41.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-12","8.89","a0CWm00000xn1BHMAY","Partially Offset","Scope 1 (Combustion)","a0GWm000000f4sTMAQ","User User","User User","#N/A","FA-0123","FL-FA-0123-1010"
"a09Wm000005aiIzIAI","CL-FA-0106-1012","2026-08-19T20:43:41.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:41.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-14","8.89","a0CWm00000xn3SoMAI","Unmitigated","Scope 1 (Combustion)","a0GWm000000f4FmMAI","User User","User User","#N/A","FA-0106","FL-FA-0106-1012"
"a09Wm000005aiKbIAI","CL-FA-0131-1014","2026-08-19T20:43:42.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:42.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-16","8.89","a0CWm00000xn3yzMAA","Partially Offset","Scope 1 (Combustion)","a0GWm000000f4vhMAA","User User","User User","#N/A","FA-0131","FL-FA-0131-1014"
"a09Wm000005aiKcIAI","CL-FA-0127-1024","2026-08-19T20:43:43.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:43.000+0000","005Wm000002EIUDIA4","#N/A","22.5","Regional Grid (EV).","2026-08-10","0.385","a0CWm00000xn7w8MAA","Unmitigated","Scope 2 (Purchased Energy/EV).","a0GWm000000f5ADMAY","User User","User User","#N/A","FA-0127","FL-FA-0127-1024"
"a09Wm000005aiKdIAI","CL-FA-0120-1027","2026-08-19T20:43:43.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:43.000+0000","005Wm000002EIUDIA4","#N/A","250.1","Standard EPA","2026-08-13","10.21","a0CWm00000xn8IeMAI","Unmitigated","Scope 1 (Combustion)","a0GWm000000f5DRMAY","User User","User User","#N/A","FA-0120","FL-FA-0120-1027"
"a09Wm000005aiMDIAY","CL-FA-0124-1015","2026-08-19T20:43:42.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:42.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-17","8.89","a0CWm00000xn42cMAA","Unmitigated","Scope 1 (Combustion)","a0GWm000000f4xJMAQ","User User","User User","#N/A","FA-0124","FL-FA-0124-1015"
"a09Wm000005aiMEIAY","CL-FA-0133-1016","2026-08-19T20:43:42.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:42.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-10","8.89","a0CWm00000xn42dMAA","Partially Offset","Scope 1 (Combustion)","a0GWm000000f4yvMAA","User User","User User","#N/A","FA-0133","FL-FA-0133-1016"
"a09Wm000005aiMFIAY","CL-FA-0119-1017","2026-08-19T20:43:42.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:42.000+0000","005Wm000002EIUDIA4","#N/A","250.1","Standard EPA","2026-08-11","10.21","a0CWm00000xn4VIMAY","Partially Offset","Scope 1 (Combustion)","a0GWm000000f50XMAQ","User User","User User","#N/A","FA-0119","FL-FA-0119-1017"
"a09Wm000005aiMGIAY","CL-FA-0128-1025","2026-08-19T20:43:43.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:43.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-11","8.89","a0CWm00000xn7w9MAA","Partially Offset","Scope 1 (Combustion)","a0GWm000000f5BpMAI","User User","User User","#N/A","FA-0128","FL-FA-0128-1025"
"a09Wm000005aiNpIAI","CL-FA-0118-1019","2026-08-19T20:43:42.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:42.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-13","8.89","a0CWm00000xn5uYMAQ","Partially Offset","Scope 1 (Combustion)","a0GWm000000f53lMAA","User User","User User","#N/A","FA-0118","FL-FA-0118-1019"
"a09Wm000005aiPRIAY","CL-FA-0104-1020","2026-08-19T20:43:42.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:42.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-14","8.89","a0CWm00000xn6SoMAI","Partially Offset","Scope 1 (Combustion)","a0GWm000000f55NMAQ","User User","User User","#N/A","FA-0104","FL-FA-0104-1020"
"a09Wm000005aiR3IAI","CL-FA-0134-1028","2026-08-19T20:43:43.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:43.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-14","8.89","a0CWm00000xn8IfMAI","Partially Offset","Scope 1 (Combustion)","a0GWm000000f5F3MAI","User User","User User","#N/A","FA-0134","FL-FA-0134-1028"
"a09Wm000005aiSfIAI","CL-FA-0110-1034","2026-08-19T20:43:44.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:44.000+0000","005Wm000002EIUDIA4","#N/A","149.4","Standard EPA","2026-08-12","8.89","a0CWm00000xn8tiMAA","Partially Offset","Scope 1 (Combustion)","a0GWm000000f50YMAQ","User User","User User","#N/A","FA-0110","FL-FA-0110-1034"
