"Id","OwnerId","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","LastActivityDate","fleetforce__Agreement_Line__c","fleetforce__Agreement__c","fleetforce__Asset_ID__c","fleetforce__Battery_Capacity_kWh__c","fleetforce__Body_Type__c","fleetforce__Branch__c","fleetforce__Color__c","fleetforce__Drive_Type__c","fleetforce__Driver__c","fleetforce__Engine_Type__c","fleetforce__Fuel_Capacity__c","fleetforce__Fuel_Energy_Level__c","fleetforce__Fuel_Type__c","fleetforce__Gross_Weight__c","fleetforce__Height__c","fleetforce__Is_Active__c","fleetforce__Key_Tag_ID__c","fleetforce__Last_Location__Latitude__s","fleetforce__Last_Location__Longitude__s","fleetforce__License_Plate__c","fleetforce__Max_Range__c","fleetforce__Odometer__c","fleetforce__Ownership__c","fleetforce__Paint_Name__c","fleetforce__Purchase_Date__c","fleetforce__Purchase_Price__c","fleetforce__Registered_State__c","fleetforce__Residual_Value__c","fleetforce__Seat_Count__c","fleetforce__Serial__c","fleetforce__Status__c","fleetforce__Transmission__c","fleetforce__VIN__c","fleetforce__Vehicle_Class__c","fleetforce__Vendor__c","fleetforce__Total_Maintenance_Cost__c","Owner.Name","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Agreement_Line__r.Name","fleetforce__Agreement__r.Name","fleetforce__Branch__r.fleetforce__Branch_ID__c","fleetforce__Driver__r.Email"
"a0CWm00000xmuPbMAI","005Wm000002EIUDIA4","2025 Ford F-150 XL (On Order)","2026-08-18T20:47:20.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:55.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0109","#N/A","Pickup","a0DWm000002RWttMAG","White","4WD","#N/A","ICE","24","59","Gasoline","7100","6.45","false","KT-109","33.775589","-84.378837","GA-543IL","490","15","Owned","Oxford White","2026-07-10","38000","GA","#N/A","3","SN-2025-0109-4362","Ordered","Automatic","1FTP4W4A1SK001008","Commercial","001Wm00000K86eIIAR","801.05","User User","User User","User User","#N/A","#N/A","BR-ATL","#N/A"
"a0CWm00000xmwMdMAI","005Wm000002EIUDIA4","2022 Isuzu NPR-HD Diesel Truck","2026-08-18T20:47:20.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:55.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0108","#N/A","Truck","a0DWm000002RWttMAG","White","RWD","003Wm00000GG8LPIA1","Diesel","24","51","Diesel","14500","9.4","true","KT-108","33.766485","-84.40759","GA-420HK","420","58200","Owned","Arc White","2022-05-14","62000","GA","#N/A","3","SN-2022-0108-5873","Assigned","Automatic","4UZTRRW45NK001007","Commercial","001Wm00000K86eIIAR","1106.88","User User","User User","User User","#N/A","#N/A","BR-ATL","liam.washington@fleetforce-demo.com"
"a0CWm00000xmxXYMAY","005Wm000002EIUDIA4","2022 Ford Transit-250 Cargo Van","2026-08-18T20:47:19.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:20.000+0000","005Wm000002EIUDIA4","#N/A","a00Wm000008mQd8IAE","a01Wm00000K9NTJIA3","FA-0102","#N/A","Van","a0DWm000002RWttMAG","White","RWD","003Wm00000GG41fIAD","ICE","16","92","Gasoline","8600","7.15","true","KT-102","33.770603","-84.383249","GA-895BE","440","38100","Leased","Oxford White","2022-09-18","42000","GA","20160","2","SN-2022-0102-8414","Assigned","Automatic","1FTVARW42NK001001","Commercial","001Wm00000K86eIIAR","353.75","User User","User User","User User","LINE-002 (2022 Ford Transit-250 Car)","MLA-2024-PINN-001","BR-ATL","jackson.miller@fleetforce-demo.com"
"a0CWm00000xmy2SMAQ","005Wm000002EIUDIA4","2024 Ford F-150 Lightning Pro EV","2026-08-18T20:47:19.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:54.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0103","131","Pickup","a0DWm000002RWttMAG","Silver","AWD","003Wm00000GG1qDIAT","Electric","#N/A","46","Electric","7100","6.45","true","KT-103","33.733933","-84.387506","GA-611CF","320","8900","Owned","Iconic Silver Metallic","2024-02-10","54900","GA","#N/A","5","SN-2024-0103-2505","Assigned","Automatic","1FTPAW4A7RK001002","Commercial","001Wm00000K86eIIAR","696.6","User User","User User","User User","#N/A","#N/A","BR-ATL","maya.patel@fleetforce-demo.com"
"a0CWm00000xmy2TMAQ","005Wm000002EIUDIA4","2024 Toyota Camry Hybrid LE","2026-08-18T20:47:22.000+0000","005Wm000002EIUDIA4","2026-08-19T07:10:59.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0122","1.6","Sedan","a0DWm000002RWvVMAW","Red","FWD","#N/A","Hybrid","16","58","Hybrid","3850","4.75","true","KT-122","32.750509","-96.821884","TX-753VY","680","10500","Owned","Supersonic Red","2024-04-05","29200","TX","#N/A","5","SN-2024-0122-6039","Available","CVT","4T1SEFW45RK001021","Standard","001Wm00000K86eIIAR","0","User User","User User","User User","#N/A","#N/A","BR-DAL","#N/A"
"a0CWm00000xmy79MAA","005Wm000002EIUDIA4","2022 Ram ProMaster 1500 Tradesman","2026-08-18T20:47:23.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:20.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","a01Wm00000K9KyXIAV","FA-0129","#N/A","Van","a0DWm000002RWx7MAG","White","FWD","003Wm00000GG41gIAD","ICE","16","49","Gasoline","8600","7.15","true","KT-129","33.420148","-112.07154","AZ-202CF","440","47200","Leased","Bright White Clearcoat","2022-07-25","39000","AZ","18720","2","SN-2022-0129-3100","Assigned","Automatic","3C6VAFW44NK001028","Commercial","001Wm00000K802qIAB","0","User User","User User","User User","#N/A","MLA-2024-APEX-002","BR-PHX","gabriel.navarro@fleetforce-demo.com"
"a0CWm00000xmy7AMAQ","005Wm000002EIUDIA4","2022 Ford Transit-250 Cargo Van","2026-08-18T20:47:24.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:20.000+0000","005Wm000002EIUDIA4","#N/A","a00Wm000008mQd8IAE","a01Wm00000K9NTJIA3","FA-0132","#N/A","Van","a0DWm000002RWx7MAG","White","RWD","003Wm00000GG3vFIAT","ICE","16","44","Gasoline","8600","7.15","true","KT-132","33.440608","-112.080285","AZ-221FI","440","49800","Leased","Oxford White","2022-06-18","42500","AZ","20400","2","SN-2022-0132-3914","Assigned","Automatic","1FTVARW40NK001031","Commercial","001Wm00000K802qIAB","0","User User","User User","User User","LINE-002 (2022 Ford Transit-250 Car)","MLA-2024-PINN-001","BR-PHX","jordan.reed@fleetforce-demo.com"
"a0CWm00000xn0gZMAQ","005Wm000002EIUDIA4","2023 Subaru Outback Premium","2026-08-18T20:47:21.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:57.000+0000","005Wm000002EIUDIA4","#N/A","#N/A","#N/A","FA-0117","#N/A","Wagon","a0DWm000002RVmiMAG","Blue","AWD","003Wm00000GGAOnIAP","ICE","16","63","Gasoline","4500","5.5","true","KT-117","39.745937","-105.018076","CO-977QT","490","21900","Owned","Cosmic Blue Pearl","2023-09-05","33000","CO","#N/A","5","SN-2023-0117-8443","Assigned","CVT","4S4WAAW45PK001016","Standard","001Wm00000K86eIIAR","1526.33","User User","User User","User User","#N/A","#N/A","BR-DEN","noah.ramirez@fleetforce-demo.com"
"a0CWm00000xn0l1MAA","005Wm000002EIUDIA4","2023 Ford E-Transit Cargo Van EV","2026-08-18T20:47:20.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:20.000+0000","005Wm000002EIUDIA4","#N/A","a00Wm000008mQbWIAU","a01Wm00000K9NTJIA3","FA-0111","68","Van","a0DWm000002RVmiMAG","White","RWD","003Wm00000GG3C3IAL","Electric","#N/A","77","Electric","8600","7.15","true","KT-111","39.728079","-104.964981","CO-511KN","126","14200","Leased","Oxford White","2023-10-12","51000","CO","24480","2","SN-2023-0111-5977","Assigned","Automatic","1FTVARW4XPK001010","Commercial","001Wm00000K802qIAB","324.2","User User","User User","User User","LINE-005 (2023 Ford E-Transit Cargo)","MLA-2024-PINN-001","BR-DEN","ethan.kowalski@fleetforce-demo.com"
"a0CWm00000xn134MAA","005Wm000002EIUDIA4","2022 Ford Transit-350 Extended Van","2026-08-18T20:47:21.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:20.000+0000","005Wm000002EIUDIA4","#N/A","a00Wm000008mRsZIAU","a01Wm00000K9NTJIA3","FA-0113","#N/A","Van","a0DWm000002RVmiMAG","White","AWD","#N/A","ICE","16","49","Gasoline","9500","8.85","true","KT-113","39.728172","-104.961868","CO-347MP","460","45600","Leased","Oxford White","2022-08-14","47500","CO","22800","2","SN-2022-0113-4813","Available","Automatic","1FTVAAW45NK001012","Commercial","001Wm00000K802qIAB","852.88","User User","User User","User User","LINE-006 (2022 Ford Transit-350 Ext)","MLA-2024-PINN-001","BR-DEN","#N/A"
