"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Asset_Component__c","fleetforce__Description__c","fleetforce__Quantity__c","fleetforce__Service_Ticket__c","fleetforce__Subtotal__c","fleetforce__Type__c","fleetforce__Unit_Price__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Asset_Component__r.Name","fleetforce__Service_Ticket__r.Name"
"a0NWm000001M9WPMA0","SLI-ST-0031-Diagnostic Fee","2026-08-19T20:42:48.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:48.000+0000","005Wm000002EIUDIA4","#N/A","Computer Diagnostic & Multi-Point Inspection","1","a0OWm000000RM9JMAW","45","Diagnostic Fee","45","User User","User User","#N/A","ST-0031"
"a0NWm000001M9X7MAK","SLI-ST-0008-Labor","2026-08-19T20:42:38.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:38.000+0000","005Wm000002EIUDIA4","#N/A","Certified Technician Labor - ST-0008","2.5","a0OWm000000RLZpMAO","275","Labor","110","User User","User User","#N/A","ST-0008"
"a0NWm000001M9X8MAK","SLI-ST-0015-Diagnostic Fee","2026-08-19T20:42:41.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:41.000+0000","005Wm000002EIUDIA4","#N/A","Computer Diagnostic & Multi-Point Inspection","1","a0OWm000000RLl7MAG","45","Diagnostic Fee","45","User User","User User","#N/A","ST-0015"
"a0NWm000001M9X9MAK","SLI-ST-0024-Labor","2026-08-19T20:42:44.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:44.000+0000","005Wm000002EIUDIA4","#N/A","Certified Technician Labor - ST-0024","2.5","a0OWm000000RLy1MAG","275","Labor","110","User User","User User","#N/A","ST-0024"
"a0NWm000001M9YjMAK","SLI-ST-0008-Parts","2026-08-19T20:42:38.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:38.000+0000","005Wm000002EIUDIA4","a03Wm00000GHHeOIAX","OEM Replacement Component/Filters - ST-0008","1","a0OWm000000RLZpMAO","185","Parts","185","User User","User User","Automatic Transmission Assembly (FA-0101)","ST-0008"
"a0NWm000001M9YkMAK","SLI-ST-0036-Parts","2026-08-19T20:42:50.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:50.000+0000","005Wm000002EIUDIA4","a03Wm00000GHFpSIAX","OEM Replacement Component/Filters - ST-0036","1","a0OWm000000RM7iMAG","185","Parts","185","User User","User User","Automatic Transmission Assembly (FA-0128)","ST-0036"
"a0NWm000001M9aLMAS","SLI-ST-0008-Diagnostic Fee","2026-08-19T20:42:38.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:38.000+0000","005Wm000002EIUDIA4","#N/A","Computer Diagnostic & Multi-Point Inspection","1","a0OWm000000RLZpMAO","45","Diagnostic Fee","45","User User","User User","#N/A","ST-0008"
"a0NWm000001M9bxMAC","SLI-ST-0009-Labor","2026-08-19T20:42:38.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:38.000+0000","005Wm000002EIUDIA4","#N/A","Certified Technician Labor - ST-0009","2.5","a0OWm000000RLbRMAW","275","Labor","110","User User","User User","#N/A","ST-0009"
"a0NWm000001M9dZMAS","SLI-ST-0009-Parts","2026-08-19T20:42:38.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:38.000+0000","005Wm000002EIUDIA4","a03Wm00000GHHL0IAP","OEM Replacement Component/Filters - ST-0009","1","a0OWm000000RLbRMAW","185","Parts","185","User User","User User","Automatic Transmission Assembly (FA-0102)","ST-0009"
"a0NWm000001M9fBMAS","SLI-ST-0009-Diagnostic Fee","2026-08-19T20:42:38.000+0000","005Wm000002EIUDIA4","2026-08-19T20:42:38.000+0000","005Wm000002EIUDIA4","#N/A","Computer Diagnostic & Multi-Point Inspection","1","a0OWm000000RLbRMAW","45","Diagnostic Fee","45","User User","User User","#N/A","ST-0009"
