"Id","OwnerId","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Equipment_Type__c","fleetforce__Firmware_Ver__c","fleetforce__Fleet_Asset__c","fleetforce__Geotab_Id__c","fleetforce__IMEI__c","fleetforce__Install_Date__c","fleetforce__Last_Ping__c","fleetforce__Manufacturer__c","fleetforce__Model__c","fleetforce__Status__c","fleetforce__Warranty_End__c","Owner.Name","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c"
"a0PWm000000fqyjMAA","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0109)","2026-08-19T20:43:44.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:44.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xmuPbMAI","GEO-GO9-0109","8690410488100","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0109"
"a0PWm000000fr0LMAQ","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0108)","2026-08-19T20:43:45.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:45.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xmwMdMAI","GEO-GO9-0108","8690410488101","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0108"
"a0PWm000000fr0MMAQ","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0122)","2026-08-19T20:43:45.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:45.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xmy2TMAQ","GEO-GO9-0122","8690410488104","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0122"
"a0PWm000000fr1xMAA","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0102)","2026-08-19T20:43:45.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:45.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xmxXYMAY","GEO-GO9-0102","8690410488102","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0102"
"a0PWm000000fr3ZMAQ","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0103)","2026-08-19T20:43:45.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:45.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xmy2SMAQ","GEO-GO9-0103","8690410488103","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0103"
"a0PWm000000fr5BMAQ","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0129)","2026-08-19T20:43:45.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:45.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xmy79MAA","GEO-GO9-0129","8690410488105","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0129"
"a0PWm000000fr6nMAA","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0132)","2026-08-19T20:43:45.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:45.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xmy7AMAQ","GEO-GO9-0132","8690410488106","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0132"
"a0PWm000000fr8PMAQ","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0117)","2026-08-19T20:43:45.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:45.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn0gZMAQ","GEO-GO9-0117","8690410488107","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0117"
"a0PWm000000frA1MAI","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0111)","2026-08-19T20:43:46.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:46.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn0l1MAA","GEO-GO9-0111","8690410488108","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0111"
"a0PWm000000frBdMAI","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0113)","2026-08-19T20:43:46.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:46.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn134MAA","GEO-GO9-0113","8690410488109","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0113"
"a0PWm000000frDFMAY","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0123)","2026-08-19T20:43:46.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:46.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn1BHMAY","GEO-GO9-0123","8690410488110","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0123"
"a0PWm000000frErMAI","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0105)","2026-08-19T20:43:46.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:46.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn3SnMAI","GEO-GO9-0105","8690410488111","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0105"
"a0PWm000000frEsMAI","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0121)","2026-08-19T20:43:47.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:47.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn4VJMAY","GEO-GO9-0121","8690410488118","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0121"
"a0PWm000000frGTMAY","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0106)","2026-08-19T20:43:46.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:46.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn3SoMAI","GEO-GO9-0106","8690410488112","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0106"
"a0PWm000000frI5MAI","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0114)","2026-08-19T20:43:46.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:46.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn3shMAA","GEO-GO9-0114","8690410488113","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0114"
"a0PWm000000frJhMAI","005Wm000002EIUDIA4","Geotab GO9 Telematics (FA-0131)","2026-08-19T20:43:46.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:46.000+0000","005Wm000002EIUDIA4","OBD-II Device","v35.4.12","a0CWm00000xn3yzMAA","GEO-GO9-0131","8690410488114","2024-01-01","2026-08-19T10:15:00.000+0000","Geotab","GO9 Commercial Pro","Active","2027-12-31","User User","User User","User User","FA-0131"
