"Id","OwnerId","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Asset_ID__c","fleetforce__DTC_Codes__c","fleetforce__EV_Battery__c","fleetforce__Fuel_Level__c","fleetforce__Heading__c","fleetforce__Ignition__c","fleetforce__Latitude__c","fleetforce__Longitude__c","fleetforce__Odometer__c","fleetforce__Speed__c","fleetforce__Timestamp__c","Owner.Name","CreatedBy.Name","LastModifiedBy.Name"
"a0QWm000007lpB8MAI","005Wm000002EIUDIA4","RAW-FA-0125-002","2026-08-19T20:43:56.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:56.000+0000","005Wm000002EIUDIA4","FA-0125","#N/A","#N/A","72","90","On","34.015","-84.652","13412","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007lsXDMAY","005Wm000002EIUDIA4","RAW-FA-0116-001","2026-08-19T20:43:55.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:55.000+0000","005Wm000002EIUDIA4","FA-0116","#N/A","#N/A","75","180","On","33.969","-84.608","62100","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lsXEMAY","005Wm000002EIUDIA4","RAW-FA-0134-001","2026-08-19T20:43:57.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:57.000+0000","005Wm000002EIUDIA4","FA-0134","#N/A","#N/A","75","180","On","34.029","-84.668","33100","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lt1rMAA","005Wm000002EIUDIA4","RAW-FA-0126-001","2026-08-19T20:43:58.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:58.000+0000","005Wm000002EIUDIA4","FA-0126","#N/A","#N/A","75","180","On","34.079","-84.718","22100","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007lt6gMAA","005Wm000002EIUDIA4","RAW-FA-0111-002","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","FA-0111","#N/A","78","72","90","On","33.835","-84.472","14212","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007ltoEMAQ","005Wm000002EIUDIA4","RAW-FA-0108-001","2026-08-19T20:43:50.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:50.000+0000","005Wm000002EIUDIA4","FA-0108","#N/A","#N/A","75","180","On","33.759","-84.39800000000001","58200","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007ltoFMAQ","005Wm000002EIUDIA4","RAW-FA-0131-001","2026-08-19T20:43:53.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:53.000+0000","005Wm000002EIUDIA4","FA-0131","#N/A","#N/A","75","180","On","33.889","-84.528","25400","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007ltwIMAQ","005Wm000002EIUDIA4","RAW-FA-0112-001","2026-08-19T20:43:57.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:57.000+0000","005Wm000002EIUDIA4","FA-0112","#N/A","#N/A","75","180","On","34.039","-84.67800000000001","12800","65","2026-08-19T08:30:00.000+0000","User User","User User","User User"
"a0QWm000007luCQMAY","005Wm000002EIUDIA4","RAW-FA-0105-002","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:52.000+0000","005Wm000002EIUDIA4","FA-0105","#N/A","#N/A","72","90","On","33.865","-84.502","41212","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
"a0QWm000007luCRMAY","005Wm000002EIUDIA4","RAW-FA-0114-002","2026-08-19T20:43:53.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:53.000+0000","005Wm000002EIUDIA4","FA-0114","#N/A","#N/A","72","90","On","33.885000000000005","-84.52199999999999","31412","45","2026-08-19T10:15:00.000+0000","User User","User User","User User"
