"Id","OwnerId","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Effective_Date__c","fleetforce__Expiration_Date__c","fleetforce__Negotiated_Rate__c","fleetforce__Region__c","fleetforce__Service_Type__c","fleetforce__Vendor__c","Owner.Name","CreatedBy.Name","LastModifiedBy.Name"
"a0SWm0000008TmPMAU","005Wm000002EIUDIA4","Midwest Diesel Heavy Labor Rate","2026-08-19T20:40:21.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:21.000+0000","005Wm000002EIUDIA4","2024-01-01","2026-12-31","135","Midwest","Maintenance","001Wm00000K8LJuIAN","User User","User User","User User"
"a0SWm0000008To1MAE","005Wm000002EIUDIA4","Midwest Transmission & Axle Overhaul","2026-08-19T20:40:21.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:21.000+0000","005Wm000002EIUDIA4","2024-01-01","2026-12-31","145","Midwest","Maintenance","001Wm00000K8LJuIAN","User User","User User","User User"
"a0SWm0000008TpdMAE","005Wm000002EIUDIA4","Midwest Heavy Fleet Parts Supply","2026-08-19T20:40:21.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:21.000+0000","005Wm000002EIUDIA4","2024-01-01","2026-12-31","85","Midwest","Parts Supply","001Wm00000K8LJuIAN","User User","User User","User User"
"a0SWm0000008TrFMAU","005Wm000002EIUDIA4","Denver Mobile Diagnostic & PM Rate","2026-08-19T20:40:21.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:21.000+0000","005Wm000002EIUDIA4","2024-01-01","2026-12-31","120","West","Maintenance","001Wm00000K802rIAB","User User","User User","User User"
"a0SWm0000008TrGMAU","005Wm000002EIUDIA4","Sunbelt Commercial Body Labor Rate","2026-08-19T20:40:22.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:22.000+0000","005Wm000002EIUDIA4","2024-01-01","2026-12-31","110","Southwest","Maintenance","001Wm00000K8LJvIAN","User User","User User","User User"
"a0SWm0000008TsrMAE","005Wm000002EIUDIA4","Mountain Emergency Roadside Dispatch","2026-08-19T20:40:22.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:22.000+0000","005Wm000002EIUDIA4","2024-01-01","2026-12-31","165","West","Roadside","001Wm00000K802rIAB","User User","User User","User User"
"a0SWm0000008TssMAE","005Wm000002EIUDIA4","Glass & Windshield Replacement Rate","2026-08-19T20:40:22.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:22.000+0000","005Wm000002EIUDIA4","2024-01-01","2026-12-31","95","Southwest","Parts Supply","001Wm00000K8LJvIAN","User User","User User","User User"
"a0SWm0000008TstMAE","005Wm000002EIUDIA4","Apex Temporary Vehicle Replacement Rate","2026-08-19T20:40:22.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:22.000+0000","005Wm000002EIUDIA4","2024-01-01","2026-12-31","75","National","Rental","001Wm00000K802qIAB","User User","User User","User User"
"a0SWm0000008TuTMAU","005Wm000002EIUDIA4","EV High-Voltage Certification Inspection","2026-08-19T20:40:22.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:22.000+0000","005Wm000002EIUDIA4","2024-01-01","2026-12-31","140","West","Maintenance","001Wm00000K802rIAB","User User","User User","User User"
"a0SWm0000008TuUMAU","005Wm000002EIUDIA4","Sunbelt Refinish & Paint Booth Rate","2026-08-19T20:40:22.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:22.000+0000","005Wm000002EIUDIA4","2024-01-01","2026-12-31","125","Southwest","Maintenance","001Wm00000K8LJvIAN","User User","User User","User User"
"a0SWm0000008Tw5MAE","005Wm000002EIUDIA4","Apex Standard PM & Quick Lube Rate","2026-08-19T20:40:22.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:22.000+0000","005Wm000002EIUDIA4","2024-01-01","2026-12-31","95","National","Maintenance","001Wm00000K802qIAB","User User","User User","User User"
"a0SWm0000008TxhMAE","005Wm000002EIUDIA4","Commercial DOT Safety Inspection Rate","2026-08-19T20:40:22.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:22.000+0000","005Wm000002EIUDIA4","2024-01-01","2026-12-31","120","National","Maintenance","001Wm00000K802qIAB","User User","User User","User User"
